unit,word,si,multiplier,conv,conv_to,type,notes
fg,femto,yes,1E-15,yes,g,mass,
pg,pico,yes,1E-12,yes,g,mass,
ng,nano,yes,0.000000001,yes,g,mass,
ug,micro,yes,0.000001,yes,g,mass,
mg,milli,yes,0.001,yes,,mass,
g,one,yes,1,yes,g,mass,
kg,kilo,yes,1000,yes,g,mass,
t,mega,no,1000000,yes,g,mass,
tons,mega,no,1000000,yes,g,mass,
pl,pico,yes,1E-12,yes,l,volume,
nl,nano,yes,0.000000001,yes,l,volume,
ul,micro,yes,0.000001,yes,l,volume,
ml,milli,yes,0.001,yes,l,volume,
l,one,yes,1,yes,l,volume,
u,unified atomic mass unit,no,,no,,,
ppq,quadrillion,no,0.000001,yes,ppb,fraction,
ppt,trillion,no,0.001,yes,ppb,fraction,
ppb,billion,no,1,yes,ppb,fraction,
ppm,million,no,1000,yes,ppb,fraction,
pm,pico,yes,1E-12,yes,mol,amount,
nm,nano,yes,0.000000001,yes,mol,amount,
um,micro,yes,0.000001,yes,mol,amount,
mm,milli,yes,0.001,yes,mol,amount,Problematic to confuse with milli meter
m,mol,yes,1,yes,mol,amount,Problematic to confuse with meter
amol,atto,yes,1E-18,yes,mol,amount,
fmol,femto,yes,1E-15,yes,mol,amount,
pmol,pico,yes,1E-12,yes,mol,amount,
nmol,nano,yes,0.000000001,yes,mol,amount,
umol,micro,yes,0.000001,yes,mol,amount,
mmol,milli,yes,0.001,yes,mol,amount,
mol,one,yes,1,yes,mol,amount,
kmol,kilo,yes,1000,yes,mol,amount,
cm,centi,yes,0.01,yes,m,length,
neq,nano,no,,no,,,
meq,milli,no,,no,,,
ueq,micro,no,,no,,,
mm2,milli,yes,0.001,yes,m2,area,
cm2,centi,yes,0.01,yes,m2,area,
m2,one,yes,1,yes,m2,area,
ha,,yes,10000,yes,m2,area,
acre,,no,4050,yes,m2,area,
ac,,no,4050,yes,m2,area,
km2,kilo,yes,1000000,yes,m2,area,
ft2,,no,0.0929,yes,m2,area,
sd,,,,no,,,
mm3,,,,no,,,
cm3,,,,no,,,
dm3,,,,no,,,
m3,,,,no,,,
fl oz,,no,0.0296,yes,l,volume,28.4ml in the imperial system â€“ 29.6ml in the US
oz,,no,28.34,yes,g,mass,
lb,,no,453.592,yes,g,mass,
psu,,,,no,,,
gal,,no,4.54609,yes,l,volume,
n,,,,no,,,
ubq,,,,no,,,
mbq,,,,no,,,
bq,,,,no,,,
kbq,,,,no,,,
pci,,,,no,,,
nci,,,,no,,,
uci,,,,no,,,
mci,,,,no,,,
ci,,,,no,,,
dpm,,,,no,,,
cpm,,,,no,,,
sd,,,,no,,,
ms,milli second,yes,0.001,yes,s,time,
s,second,yes,1,yes,s,time,
mi,minute,yes,60,yes,s,time,
min,minute,yes,60,yes,s,time,
h,hour,yes,1,yes,h,time,
hr,hour,yes,1,yes,h,time,
hpf,hour,yes,1,yes,h,time,Hour post fertilization
d,day,yes,24,yes,h,time,
day,day,yes,24,yes,h,time,
wk,week,yes,168,yes,h,time,
mo,month,yes,5040,yes,h,time,
yr,year,yes,365.25,yes,d,time,
eu,,,,no,,,
iu,,,,no,,,
cwt,,,,no,,,
org,,,,no,,,
egg,,,,no,,,
% wsf,,,,no,,,
% v,,,,no,,,
v,,,,no,,,
% vol,,,,no,,,
% w,,,,no,,,
w,,,,no,,,
disk,,,,no,,,
% d wght,,,,no,,,
%,,,,no,,,
%sat,,,,no,,,
cell,,,,no,,,
ptm,,,,no,,,
granules,,,,no,,,
mci mg,,,,no,,,
tank,,,,no,,,
mosmoles,,,,no,,,
% g,,,,no,,,
% mg,,,,no,,,
plg,,,,no,,,
lit,,,,no,,,
dose,,,,no,,,
mosm,,,,no,,,
units,,,,no,,,
body wt,,,,no,,,
fish,,,,no,,,
mouse unit,,,,no,,,
